product_id,product_name,category,brand,price,stock
PROD00001,LED Lamp,Home Decor - Lighting,UrbanChic,4993.11,455
PROD00002,Yoga Mat,Sports - Fitness Equipment,HomeEase,6196.37,246
PROD00003,Plush Toys,Kids - Toys,HealthWise,5586.0,1
PROD00004,Oxford Shoes,Men Footwear - Formal Shoes,Beautique,5545.93,368
PROD00005,Calcium Tablets,Health & Wellness - Supplements,TrendyWear,5044.95,386
PROD00006,Luxury Watch,Men Accessories - Watches,SportEdge,2897.07,29
PROD00007,Monk Straps,Men Footwear - Formal Shoes,MobileGear,9926.79,228
PROD00008,Cotton Saree,Women Fashion - Sarees,HomeEase,9636.12,448
PROD00009,Calcium Tablets,Health & Wellness - Supplements,HealthWise,5054.48,181
PROD00010,Chiffon Saree,Women Fashion - Sarees,BoldTrends,2420.46,226
PROD00011,Silicon Cover,All Mobile & Accessories - Mobile Cases & Covers,ToyLand,3697.39,175
PROD00012,Robot Vacuum,Home - Vacuum Cleaners,FashionFusion,455.91,282
PROD00013,Lipstick,Beauty & Personal Care - Makeup,FashionFusion,6654.78,209
PROD00014,Budget Smartwatch,All Mobile & Accessories - Smartwatches,PowerSport,7605.17,428
PROD00015,Tote Bag,Women Accessories - Handbags,ComfyHome,9032.09,254
PROD00016,Yoga Strap,Health & Wellness - Yoga Accessories,Beautique,7948.51,154
PROD00017,Canvas Shoes,Men Footwear - Casual Shoes,HomeEase,9409.47,473
PROD00018,Flip Cover,All Mobile & Accessories - Mobile Cases & Covers,ShinyStyle,7516.28,459
PROD00019,Treadmill,Sports - Fitness Equipment,ElegantChoice,9631.71,242
PROD00020,Puzzle Toys,Kids - Toys,ShinyStyle,6993.92,261
PROD00021,Hiking Backpack,Sports - Outdoor Gear,TrendyWear,1783.52,332
PROD00022,Calcium Tablets,Health & Wellness - Supplements,HealthWise,7421.03,434
PROD00023,Sneakers,Men Footwear - Casual Shoes,BoldTrends,3880.73,42
PROD00024,Meditation Cushion,Health & Wellness - Yoga Accessories,ElegantChoice,9440.61,269
PROD00025,Clutch Bag,Women Accessories - Handbags,WellnessHub,602.25,494
PROD00026,Foundation,Beauty & Personal Care - Makeup,TechZen,8576.81,349
PROD00027,Meditation Cushion,Health & Wellness - Yoga Accessories,PowerSport,8956.76,164
PROD00028,Hard Case,All Mobile & Accessories - Mobile Cases & Covers,FashionFusion,8475.36,227
PROD00029,Sleeping Bag,Sports - Outdoor Gear,ShinyStyle,2693.66,331
PROD00030,Sneakers,Men Footwear - Casual Shoes,PowerSport,8770.47,478
PROD00031,Brogues,Men Footwear - Formal Shoes,SmartFit,5296.42,141
PROD00032,Luxury Smartwatch,All Mobile & Accessories - Smartwatches,TrendyWear,2614.58,426
PROD00033,Luxury Smartwatch,All Mobile & Accessories - Smartwatches,WellnessHub,2905.66,10
PROD00034,Car Mount Holder,All Mobile & Accessories - Mobile Holders,ToyLand,2368.12,315
PROD00035,Yoga Block,Health & Wellness - Yoga Accessories,Meesho Originals,4757.82,409
PROD00036,A-Line Kurti,Women Fashion - Kurtis,HomeEase,2429.95,94
PROD00037,Sneakers,Men Footwear - Casual Shoes,MobileGear,2485.15,102
PROD00038,Fitness Tracker,All Mobile & Accessories - Smartwatches,LuxuryLine,2695.02,161
PROD00039,Protein Powder,Health & Wellness - Supplements,ComfyHome,8054.5,48
PROD00040,Anarkali Kurti,Women Fashion - Kurtis,HomeEase,3739.21,180
PROD00041,Wall Sconce,Home Decor - Lighting,PlayfulKids,4473.24,421
PROD00042,Wall Sconce,Home Decor - Lighting,PowerSport,1592.04,319
PROD00043,Monk Straps,Men Footwear - Formal Shoes,MobileGear,2250.26,101
PROD00044,Cotton Saree,Women Fashion - Sarees,ShinyStyle,9467.63,230
PROD00045,Moisturizer,Beauty & Personal Care - Skincare,Beautique,3048.05,346
PROD00046,Monk Straps,Men Footwear - Formal Shoes,BoldTrends,879.53,298
